district,total_price,price_per_meter,area
Admiralteysky,10253037,160753,74.0
Kirovsky,6100000,105216,56.2
Kyrortniy,9900000,170984,75.0
Petrodvoretsovy,4630027,112875,54.2
Vasileostrovky,10980000,158810,55.0
Kolpinsky,3990000,76687,62.0
Moscow,7049999,142000,54.0
Primorksky,4750000,110444,40.3
Vyborg,6040000,112164,60.1
Krasnogvardeisky,6200000,114706,61.0
Nevsky,6500000,110952,57.3
Pushkinsky,4611600,100420,63.5
Kalininsky,5500000,119995,51.7
Krasnoselsky,5500000,108488,52.7
Frunze,6500000,127210,56.9
Petrogradsky,17362000,212972,80.4
Central,18500000,217621,91.0
Kronstadt,3650000,86905,42.0
